Id,nFORCE__Feature_Translation__c,nFORCE__Translation_Key__c,nFORCE__Original_Text__c,nFORCE__Translated_Text__c,proposed_spanish,tracker_id,notes
a4AAU000003Qoub2AC,Route_Names,es:Route_Names:6sSSn5u5S5gD5fp4osPv1w==,Generate Credit Memo,,,,
a4AAU000003Qosd2AC,Route_Names,es:Route_Names:Ozsf9ZawymJ1LrG+DEuvCg==,Generate Documents,,,,
a4AAU000003QotK2AS,Route_Names,es:Route_Names:jbCOUHZkTOw15AONL6i/Vg==,Generate Forms,,,,
a4AAU000003QovO2AS,Route_Names,es:Route_Names:5xwCOv4178uC88T1+zHpsA==,Get Credit Report,,,,
a4AAU000003Qovy2AC,Route_Names,es:Route_Names:g0zTe+lnLrwubTRD6oZ5oA==,Guarantee,,Garantía,NC-014(route),MATCHED TO TWC ITEM
a4AAU000003Qowa2AC,Route_Names,es:Route_Names:LjRzkwnHgsfq3cbo8QajlQ==,Guarantee Demo,,,,
a4AAU000003QotB2AS,Route_Names,es:Route_Names:0UFwCn+sI6M5N7USJ/fuNg==,HMDA,,,,
a4AAU000003QosR2AS,Route_Names,es:Route_Names:A7tRtmgjoWk+UWNsCWP+0w==,HMDA Eligibility,,,,
a4AAU000003QosU2AS,Route_Names,es:Route_Names:pQpVMFpqszleGiSy6nacQA==,HVCRE,,,,
a4AAU000003Qow82AC,Route_Names,es:Route_Names:vntPEoIoes8Y5uGWpZn5UQ==,Handover Loans,,,,
a4AAU000003Qouk2AC,Route_Names,es:Route_Names:dDYbIoiP03aKy3xR10CMOw==,Import Rule,,,,
a4AAU000003QowE2AS,Route_Names,es:Route_Names:qCvg9VG4cIvAjrM82d7Qzw==,Information,,,,
a4AAU000003QosH2AS,Route_Names,es:Route_Names:8cnpr4C7UzYY9b3v4zN0fQ==,Insights,,,,
a4AAU000003Qous2AC,Route_Names,es:Route_Names:zB1vNiXE62cddrbr8/b1RA==,Know Your Customer,,,,
a4AAU000003Qosj2AC,Route_Names,es:Route_Names:2VHtsbmj7VnrerWyTvFenQ==,Layout Editor,,,,
a4AAU000003Qots2AC,Route_Names,es:Route_Names:mtgaj4pcemzp4bqbtHWTkQ==,Loan,,Contrato,PRD-003,MATCHED TO TWC ITEM
a4AAU000003Qotz2AC,Route_Names,es:Route_Names:XXvKuS3U9Z50R3CpO3N1Dg==,Loan Auto Decision Detail,,,,
a4AAU000003QotD2AS,Route_Names,es:Route_Names:MW+G36vwmIyK5m8a3I6gsQ==,Loan Compliance,,,,
a4AAU000003Qota2AC,Route_Names,es:Route_Names:TLmubFVJTeNkr2ny2tThEA==,Loan Covenants,,,,
a4AAU000003Qovt2AC,Route_Names,es:Route_Names:XsQebXW0JZd7OiQ8n7RpmQ==,Loan Dashboard,,,,
a4AAU000003Qot02AC,Route_Names,es:Route_Names:P3TaXm4C8SxSCOUMEUUm8Q==,Loan Details,,,,
a4AAU000003QotX2AS,Route_Names,es:Route_Names:WxHZnta5T41tOpI0QjDzhQ==,Loan Facilities,,,,
a4AAU000003Qovn2AC,Route_Names,es:Route_Names:N5R2ZQ65KXbApL8g4bHmdw==,Loan Information,,,,
a4AAU000003QouC2AS,Route_Names,es:Route_Names:yIHXldFmXekJon+yx6eOiw==,Loan Products,,,,
a4AAU00000429GF2AY,Route_Names,es:Route_Names:/Xu4LJyBYpDVilKUFBqbVg==,Loan Structuring,,,,
a4AAU000003QotS2AS,Route_Names,es:Route_Names:5W7+JEL4OAMiNagYZpoE8g==,Loan Team,,,,
a4AAU000003QovE2AS,Route_Names,es:Route_Names:ZOEJ+23enXEfG3y6bOLieQ==,Loans,,,,
a4AAU000003QovF2AS,Route_Names,es:Route_Names:zlv1UTeUWcHGHSogQGHEVQ==,Location,,,,
a4AAU000003Qosq2AC,Route_Names,es:Route_Names:IW+FKGx8M3rCqxbWmFssIQ==,Maintenance Configuration,,,,
a4AAU000003QouH2AS,Route_Names,es:Route_Names:3tzCdV3MWfkheCRjmpke7w==,Maintenance Request,,,,
a4AAU000003QotW2AS,Route_Names,es:Route_Names:APuIQU7Y2AIll4/Gmni5DA==,Manage Bill Points,,,,
a4AAU000003QowG2AS,Route_Names,es:Route_Names:oqPK1rloAAQuUx78qAfM7A==,Manage Budget,,,,
a4AAU000003Qovv2AC,Route_Names,es:Route_Names:4Gq5p+Um+czuuHbAEAWEVg==,Manage Budget L,,,,
a4AAU000003QosP2AS,Route_Names,es:Route_Names:ybogEJNKXkxHmwEtG6hbVg==,Manage Collateral,,,,
a4AAU000003Qovs2AC,Route_Names,es:Route_Names:3wlTOG0lPayjFQUt4Rk0Aw==,Manage Covenants,,,,
a4AAU000003Qotl2AC,Route_Names,es:Route_Names:4VJEHtmaK1cNn70CP+g9uA==,Manage Facilities,,,,
a4AAU000003QotR2AS,Route_Names,es:Route_Names:2A0ASRKjfVo1V/s+Rgdkcw==,Manage Fees,,,,
a4AAU000003QovX2AS,Route_Names,es:Route_Names:t3+55XrusLfPJWeY0YyCag==,Memo Details,,,,
a4AAU000003Qovl2AC,Route_Names,es:Route_Names:E6fyVSCgTWlo15sZXdqUrw==,Memos,,,,
a4AAU000003Qovf2AC,Route_Names,es:Route_Names:DANrhx48ZsFyT2j9AHxHGA==,Narrative,,,,
a4AAU000003QowC2AS,Route_Names,es:Route_Names:BcBbHFx/LlPUWm7OK7u8BQ==,New Deposit,,,,
a4AAU000003QouE2AS,Route_Names,es:Route_Names:4PiyD7tKBDOfZHJfp5WBBw==,New Deposit Product,,,,
a4AAU000003Qoum2AC,Route_Names,es:Route_Names:i1y7Yf/0yzJOURP5Hr3y7A==,New Entity Involvement,,,,
a4AAU000003Qoti2AC,Route_Names,es:Route_Names:YTwS5O6m/5J6Z8yqSh8b0Q==,New Facility,,,,
a4AAU000003QouS2AS,Route_Names,es:Route_Names:EEyhKhzRSSzhsrjqUMRemA==,New Limit/Sub/Takedown,,,,
a4AAU000003Qou42AC,Route_Names,es:Route_Names:UgYiXvCKm/Mps1nZh9yZTw==,New Loan,,,,
a4AAU000003QouF2AS,Route_Names,es:Route_Names:3uJYFxmnVhx5O844SUr+3A==,New Loan Product,,,,
a4AAU000003QouR2AS,Route_Names,es:Route_Names:G5IDN+p8DKPa23PApktppw==,Next Steps,,,,
a4AAU000003Qou02AC,Route_Names,es:Route_Names:lGG+2LcTdzGENpkOVxBnKQ==,Offers,,,,
a4AAU000003QovG2AS,Route_Names,es:Route_Names:agSEDFXIUA09TLUNGQzImQ==,Ongoing Servicing,,,,
a4AAU000003Qouc2AC,Route_Names,es:Route_Names:TfIYo6Uoe7O62rnc1vQQgA==,Opportunities,,,,
a4AAU000003QowA2AS,Route_Names,es:Route_Names:g3zijSw12hKQ9E/XFDA12g==,Origination,,,,
a4AAU000003QovH2AS,Route_Names,es:Route_Names:O/ag+s/+P9klob44a2qrhw==,Other Information,,,,
a4AAU000003QotZ2AS,Route_Names,es:Route_Names:O7LtlAB4YrXSDFI6MMM8JA==,Other Related Entities,,,,
a4AAU000003QouQ2AS,Route_Names,es:Route_Names:g+zS0YufyLf5K+5Net/jMw==,Others Involved,,,,
a4AAU000003QovI2AS,Route_Names,es:Route_Names:O4eCeaBNxH1gkyyylNliWQ==,Overview,,,,
a4AAU000003QovR2AS,Route_Names,es:Route_Names:zxjGrOIMgFmB58bchbUCGQ==,Overview Config,,,,
a4AAU000003Qouz2AC,Route_Names,es:Route_Names:tCwAY/MeQaWzgolimG4zwQ==,Ownership & Roles,,,,
a4AAU000003Qosn2AC,Route_Names,es:Route_Names:7DbuyyEnmL/IYHbxdZtYJA==,Participation,,,,
a4AAU000003Qoso2AC,Route_Names,es:Route_Names:rCLOE2zNMOp8vSDMoj0pJw==,Participation Details,,,,
a4AAU000003Qovq2AC,Route_Names,es:Route_Names:FF9i6Ym1Bhv8CTYfmj2SUw==,Participations,,,,
a4AAU000003QotG2AS,Route_Names,es:Route_Names:w18yAsc64rPZFsxz6hmlMA==,Payment Calculator,,,,
a4AAU000003Qot32AC,Route_Names,es:Route_Names:LRDm05YcWJHj9+QMYQtdqw==,Payment Structure,,,,
a4AAU000003QouO2AS,Route_Names,es:Route_Names:lSou/hvkIr1h7bBqO5MZiA==,Personal Info,,,,
